name,address,city,province,zip,country,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Cati Frantz,07515 Lien Avenue,Maple Ridge,BC,F4F 8W1,Canada,1943946,4,3,1031,3580
Irwin Cheake,5111 Esker Road,Richmond,BC,K1U 8N5,Canada,2500942,7,7,541,1056
Chloette Hagger,1599 Hanson Court,Maple Ridge,BC,C2Q 6V9,Canada,1955028,1,8,646,3039
Pier Hothersall,8269 Southridge Crossing,Langley,BC,U1O 3P4,Canada,1824512,8,7,925,4435
Vito Drayton,6 Morningstar Alley,Nanaimo,BC,Q1K 5X9,Canada,770357,3,7,2205,4324
Lionel Petric,2 Sullivan Hill,Victoria,BC,L3R 3W6,Canada,597966,5,6,282,3172
Kerby Andrichuk,81 Blue Bill Park Road,Vancouver,BC,G6N 5I1,Canada,765829,6,1,610,653
Brig Dakin,68507 Ridgeview Plaza,Prince George,BC,A0Z 6C4,Canada,1562549,8,8,731,996
Bryn Forryan,4 Hovde Avenue,Chilliwack,BC,L3X 6L5,Canada,297246,1,0,2931,1775
Zuzana Vescovo,3344 Clarendon Terrace,Maple Ridge,BC,P6W 6W1,Canada,1448133,0,1,402,3076
Tate Kinnane,20 Vernon Road,New Westminster,BC,X4L 3Q3,Canada,1036196,6,0,128,1538
Bernarr Barabich,7 Jenna Junction,Langley,BC,H4R 4W7,Canada,2963139,1,5,2616,1074
Drucy Saurin,8530 Calypso Street,Richmond,BC,V5U 4N8,Canada,258642,2,5,3369,2990
Phylis Heasman,27 Debs Hill,Maple Ridge,BC,S0V 3W1,Canada,1725218,4,0,2790,3405
Brita Mildenhall,35 Namekagon Road,Langley,BC,L1P 3S1,Canada,648815,5,0,1784,548
Dennet Aronov,977 Bobwhite Hill,Abbotsford,BC,U0C 2P5,Canada,2709423,8,3,1001,2679
Nichols Tregaskis,3630 Spenser Lane,Kamloops,BC,H8E 4X5,Canada,1401071,1,0,1784,783
Yale Durtnal,35 Hermina Junction,Victoria,BC,W8O 5Q3,Canada,1859863,7,8,1168,1124
Lorne Logesdale,1846 Fairview Way,Vancouver,BC,I2A 6L0,Canada,377072,7,5,2012,3798
Esma Teasell,39060 Bobwhite Plaza,Kelowna,BC,O3O 2D0,Canada,1595382,0,7,546,3615
Marjorie Eloy,7119 Sachtjen Plaza,Richmond,BC,S5Q 1A4,Canada,1011988,5,7,3013,3369
Bunny Lampet,4 Ridgeview Point,Vancouver,BC,P7M 6I8,Canada,1168976,2,1,3371,4850
Daron Elston,018 Lyons Park,Vernon,BC,N4U 0F3,Canada,2059893,4,3,1989,728
Algernon Vickarman,75782 Loeprich Trail,Kelowna,BC,H0F 6M6,Canada,1454337,7,3,1282,2551
Jeannie O'Fallone,2 Forest Run Drive,Richmond,BC,H1T 5O7,Canada,1986665,2,5,2573,2620
Rinaldo Bacchus,642 Hoffman Trail,Richmond,BC,A2R 5E9,Canada,1342805,6,1,3171,4635
Fidelia Wardlaw,538 Bluejay Road,Langley,BC,A6G 4S1,Canada,501178,0,1,690,744
Francisca Bartoli,99009 Bluejay Drive,Vernon,BC,B8J 4J4,Canada,2690934,4,5,716,1113
Hilton Krolle,19 Toban Court,New Westminster,BC,B1Q 3F8,Canada,296424,2,1,1038,3306
Jacquelynn Cowdrey,901 Jay Trail,New Westminster,BC,S2C 4O9,Canada,2620282,6,4,2051,1066
Westbrook Greer,697 Westport Court,New Westminster,BC,J5R 7V7,Canada,2835263,1,8,3042,3315
Lucky McCafferky,78263 Shasta Street,Burnaby,BC,M6O 6D7,Canada,1670676,0,2,2938,1162
Boyce Corless,98689 Morning Park,Kamloops,BC,Z7A 4K1,Canada,2982314,4,0,262,4206
Leo Illesley,97207 Burrows Crossing,Abbotsford,BC,Y5B 9D6,Canada,1728560,8,7,146,1885
Barby Bugge,338 Pawling Alley,New Westminster,BC,T2O 3X2,Canada,636157,7,1,3257,2232
