name,address,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Cati Frantz,07515 Lien Avenue,1943946,4,3,1031,3580
Irwin Cheake,5111 Esker Road,2500942,7,7,541,1056
Chloette Hagger,1599 Hanson Court,1955028,1,8,646,3039
Pier Hothersall,8269 Southridge Crossing,1824512,8,7,925,4435
Vito Drayton,6 Morningstar Alley,770357,3,7,2205,4324
Lionel Petric,2 Sullivan Hill,597966,5,6,282,3172
Kerby Andrichuk,81 Blue Bill Park Road,765829,6,1,610,653
Brig Dakin,68507 Ridgeview Plaza,1562549,8,8,731,996
Bryn Forryan,4 Hovde Avenue,297246,1,0,2931,1775
Zuzana Vescovo,3344 Clarendon Terrace,1448133,0,1,402,3076
Tate Kinnane,20 Vernon Road,1036196,6,0,128,1538
Bernarr Barabich,7 Jenna Junction,2963139,1,5,2616,1074
Drucy Saurin,8530 Calypso Street,258642,2,5,3369,2990
Phylis Heasman,27 Debs Hill,1725218,4,0,2790,3405
Brita Mildenhall,35 Namekagon Road,648815,5,0,1784,548
Dennet Aronov,977 Bobwhite Hill,2709423,8,3,1001,2679
Nichols Tregaskis,3630 Spenser Lane,1401071,1,0,1784,783
Yale Durtnal,35 Hermina Junction,1859863,7,8,1168,1124
Lorne Logesdale,1846 Fairview Way,377072,7,5,2012,3798
Esma Teasell,39060 Bobwhite Plaza,1595382,0,7,546,3615
Marjorie Eloy,7119 Sachtjen Plaza,1011988,5,7,3013,3369
Bunny Lampet,4 Ridgeview Point,1168976,2,1,3371,4850
Daron Elston,018 Lyons Park,2059893,4,3,1989,728
Algernon Vickarman,75782 Loeprich Trail,1454337,7,3,1282,2551
Jeannie O'Fallone,2 Forest Run Drive,1986665,2,5,2573,2620
Rinaldo Bacchus,642 Hoffman Trail,1342805,6,1,3171,4635
Fidelia Wardlaw,538 Bluejay Road,501178,0,1,690,744
Francisca Bartoli,99009 Bluejay Drive,2690934,4,5,716,1113
Hilton Krolle,19 Toban Court,296424,2,1,1038,3306
Jacquelynn Cowdrey,901 Jay Trail,2620282,6,4,2051,1066
Westbrook Greer,697 Westport Court,2835263,1,8,3042,3315
Lucky McCafferky,78263 Shasta Street,1670676,0,2,2938,1162
Boyce Corless,98689 Morning Park,2982314,4,0,262,4206
Leo Illesley,97207 Burrows Crossing,1728560,8,7,146,1885
Barby Bugge,338 Pawling Alley,636157,7,1,3257,2232
Dorice MacCague,8733 Colorado Plaza,2109825,7,4,2279,3389
Taber Channer,8 Canary Avenue,881100,7,4,3298,1868
Bobbe Munday,7 Logan Lane,267337,2,2,343,1782
Fraser Dagnall,5 Quincy Avenue,2978546,8,6,2829,4879
Elke Blaxton,9 Village Green Avenue,2890154,1,6,2712,606
Gaston Gadie,0916 East Street,696217,2,0,1505,4383
Hilary Harnetty,51 Lunder Terrace,1812849,3,1,729,419
Layton Trent,76342 Union Parkway,1234304,0,8,944,783
