name,address,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Hubey Mieville,1 Riverside Place,3472689,2,5,5184,1800
Patrice Swatton,077 Birchwood Drive,329654,1,2,832,1263
Adele Colles,7618 Sunfield Street,313305,5,4,2459,1871
Xylia Finlayson,800 Kingsford Plaza,3001384,7,3,3758,3475
Maurita Oxberry,9399 Mariners Cove Circle,3695499,5,7,2712,130
Cosimo Longina,454 8th Road,2248239,6,7,73,2193
Herby Attwooll,2 Hoard Pass,1172834,1,2,4131,263
Cristobal Chainey,17047 Dottie Street,4372941,3,0,2153,1859
Sheffie Buckberry,8 Starling Trail,3910497,8,8,612,1200
Padget Noods,920 Victoria Pass,369486,3,7,5420,824
Leshia Vinsen,084 Mifflin Hill,3780080,8,8,916,2425
Michal Epinoy,1774 Eggendart Trail,1691346,5,0,412,7
Cristal Alabastar,4036 Graceland Hill,2487913,2,5,1108,3486
Veradis Adlam,78 Crownhardt Way,1323439,8,7,898,2504
Libbi Klageman,84948 Surrey Junction,1016570,8,3,5408,1915
Bren Niaves,0 Del Mar Center,2025127,5,7,3763,1328
Lynette Brendish,9008 Gulseth Center,3756913,4,1,2984,454
Wesley Lermit,08915 Emmet Plaza,4705018,2,8,5461,1189
Carlota Comport,7170 Banding Drive,3642809,4,1,1759,310
Vi McGinney,47746 Parkside Parkway,3796800,8,7,2789,2668
Kylynn Badham,3924 Reinke Park,4741888,6,5,307,2095
Eugenie Boij,893 Sugar Court,2488973,8,1,1935,2151
Issy Trousdale,0 Buena Vista Center,3652473,8,5,2925,2256
Karylin Lamswood,136 Dahle Street,1172601,6,5,2115,3117
Rory Kubu,31531 Paget Point,4551996,1,3,4621,967
Kala Stoller,2765 Jackson Alley,1990321,2,4,4696,2294
Christophorus Duffil,335 Lukken Terrace,1065367,1,1,53,2732
Kristyn Ricold,7524 Westend Hill,2331505,8,7,2407,48
Gretna Sives,46745 Troy Crossing,714247,8,4,4344,583
Jolynn Jervois,3907 Basil Circle,4058800,0,7,3386,1248
Teresina Paynton,793 Bowman Avenue,3725226,1,5,1445,2757
Katrina Detoile,30686 Jackson Trail,4013406,6,8,1549,475
Denna Mawby,52 Evergreen Terrace,3071279,1,5,3512,1333
Constancia Tasseler,2151 Iowa Parkway,4778292,4,6,1788,1470
Parnell Eouzan,8 Roxbury Hill,4766952,7,7,4044,2744
Briggs Pringley,3 Monument Point,1120024,6,5,3160,1590
Derk Ferebee,55 Sloan Lane,2026674,3,3,417,621
Kendre Bootherstone,6 Continental Hill,3674244,4,0,5152,425
Danny Washbrook,20514 Pierstorff Street,1524239,2,5,436,3059
Wilt McGeown,6 Vera Lane,3600732,4,0,1166,2480
Valeria Tuison,7 Bluestem Hill,293517,2,7,2914,1704
Ricca Videneev,5 Debra Terrace,592251,5,8,4579,1045
Gilligan Dyne,1225 Sunnyside Place,2973097,3,1,1572,2193
Manny Lax,635 Manitowish Center,300731,4,2,5069,1144
Rebe Radbourn,30506 American Terrace,3897206,7,2,2056,735
Sibel Challice,1 Spohn Way,2050326,8,4,2364,2227
Pamelina Broster,41037 Porter Street,4028140,2,4,4210,1234
Martie Spreadbury,409 Merrick Court,3943072,7,1,4629,2983
Merrily Pigram,6 Gina Pass,2045623,7,3,0,643
Rozamond Meeking,40797 Sullivan Pass,373473,8,6,5400,2920
Kelsy Pridie,60179 Roxbury Avenue,4472516,0,7,447,2365
Natala Goodwell,628 Stone Corner Place,2751789,8,5,3953,3294
Jessie Getcliff,4472 Jenna Terrace,1824855,3,1,4169,2629
Gwenny Beasley,99809 Division Place,1846007,0,1,2519,741
Niki Liffey,4 Cascade Plaza,2697799,3,4,1644,1759
Boot Goodban,3 Macpherson Lane,2766796,2,5,639,1923
Renaud Van Dalen,662 Pepper Wood Street,452166,1,7,2226,1494
Towney Dake,8 Graceland Drive,4901200,6,3,3152,996
Valina Byars,5509 Dayton Center,1433511,7,8,1674,449
Crystie Classen,79 Kropf Circle,3408712,2,8,422,3315
Gottfried Scough,3382 Twin Pines Terrace,601589,2,0,1443,1481
Travers Yarnell,305 Butternut Court,1699088,6,6,1606,1969
Alyse Oland,48 Lindbergh Parkway,4003089,1,8,3210,2053
