name,address,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Flory Twining,870 Larry Crossing,1571500,0,6,62,607
Ginger Nazair,55845 Stang Park,4291273,1,4,1403,1936
Cazzie Pache,8294 Westend Pass,1953955,7,3,909,155
Corney Shipley,88 Corscot Way,3475517,4,3,1312,2110
Alvina Band,6317 Sunnyside Parkway,1528090,0,4,4906,2781
Norbert Kingsford,6 Sachtjen Trail,1311549,1,1,759,1753
Jessamine Hyndley,99 Kenwood Center,2979916,6,0,2652,2697
Blisse Blakiston,4031 Ronald Regan Alley,891208,0,6,1088,2919
Leah Lambeth,7 Garrison Plaza,4403904,1,3,3038,3368
Gena O'Cosgra,2792 Debra Street,3708376,0,7,617,461
Pieter Cholerton,60 Fulton Avenue,2062989,0,2,2480,1613
Jan Pitsall,9 Sloan Terrace,2129071,4,5,3950,708
Dennet Nesfield,0218 Randy Circle,3035176,4,4,2127,3058
Aksel Espinoza,408 Merry Crossing,4332986,5,2,5114,1456
Grete Ruddock,20 Calypso Park,4699689,1,2,4447,678
Penrod Hazeldene,21000 Fairfield Parkway,1721343,6,6,5449,3015
Eberto Cherry,3225 Sunfield Crossing,4497090,5,2,2889,3457
Dedra Fraschini,40398 Luster Place,871405,3,8,5273,645
Tildi Greenroa,153 Roxbury Place,1412079,1,1,3454,1870
Magdalen Kilmartin,87 Pleasure Place,1012518,2,8,2246,1417
Winnifred Betchley,5561 Dovetail Center,3683072,4,1,3980,515
Samara Bryden,36813 Thackeray Road,791714,4,3,1032,507
Adah Ghiriardelli,3706 Vidon Circle,1064771,6,7,1314,1011
Aggie Dillistone,2 Fremont Road,2732485,7,7,2084,2520
Jasper Treweela,0 Bobwhite Junction,4429301,3,0,2639,2031
Dian Thompson,34 Walton Court,3533821,3,8,1551,761
Barnabe Aylmer,341 Lakewood Alley,2085702,3,0,4745,1444
Alessandro Prop,83 Linden Center,3164020,1,2,1896,1954
Jeramie Camell,09 Shasta Way,1158616,4,6,4152,1872
Ardyth Cleverly,13 1st Circle,1766648,0,3,2163,2306
Katleen Nappin,7 Goodland Center,3927708,5,1,953,1556
Red Shatliffe,773 Rockefeller Pass,466189,4,0,4856,1336
Pascal Westraw,273 Fair Oaks Junction,2748635,4,4,3990,885
Aggy McNysche,6 Debs Crossing,3519852,8,0,5137,2906
Corabelle Alvin,5 Graceland Terrace,2902124,5,7,3076,2637
Jocko Stelljes,6147 Ridgeview Crossing,4275658,1,1,4869,3110
Sven Troppmann,48854 School Park,3398202,7,7,3103,2294
