name,address,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Megan Kynder,96 Judy Junction,2525469,3,1,183,1897
Doralynne Ullock,08 Badeau Point,4671991,2,5,4277,1390
Dolph Partner,7458 Ramsey Center,2725428,1,1,600,294
Robbi Josefson,903 Kensington Trail,3220014,3,1,4761,212
Tersina Glewe,50436 Anniversary Terrace,3223980,8,8,2290,1418
Gianni Morshead,75672 Union Parkway,3808710,3,2,4368,340
Zelda Giraths,01081 Cottonwood Point,984513,7,2,2034,1410
Isac Eschalette,1 Luster Street,4547773,5,7,2660,320
Suzanne Nutting,896 Eastlawn Plaza,774367,5,0,61,1367
Hannie Castelow,70034 Kennedy Hill,3503979,0,1,5011,1069
Darcie Kneafsey,8 Riverside Court,4332470,7,5,2305,1917
Jaquelyn Bradie,0620 Blackbird Plaza,2910511,7,7,4392,788
Toinette Conybear,994 La Follette Terrace,3604843,2,8,5065,1850
Estel Skill,177 Prairie Rose Plaza,3699443,1,2,633,2266
Jobye Mansell,91 Linden Parkway,1481466,4,0,5122,2991
Weylin Dickin,31441 Doe Crossing Junction,3714503,3,2,817,730
Ertha Reinbach,94136 Lakewood Alley,2374913,5,5,2364,317
Dorri Chang,2 Surrey Trail,3095601,1,2,3824,2778
Agnella Robardet,12 Everett Drive,4425773,4,0,2228,3106
Rayshell Parram,2934 Homewood Street,3455194,3,1,2358,3048
Ethelda Lezemore,09 Sunbrook Junction,4019814,8,7,3000,2872
Cindy Gerhardt,082 Oriole Trail,1199866,1,5,25,1080
Brigitte Dalli,822 Oneill Parkway,515593,3,1,1484,1549
Dew Spondley,7 Maple Place,4025897,2,2,5101,3165
Hewet Phipard-Shears,1 Dorton Terrace,1185534,5,1,194,0
Winthrop Frise,4210 Kingsford Avenue,4588046,2,5,5107,1878
Almira Clulow,4798 Stoughton Lane,3868575,7,2,4513,691
Olivie Cornehl,66109 Corry Circle,3117987,3,8,5246,1917
Boigie Gilphillan,16 Messerschmidt Drive,739960,8,7,593,2511
Ethelda Bromwich,75808 La Follette Trail,3905891,0,7,3372,1361
Dannel Pritty,2 Sauthoff Circle,4381882,3,3,5344,3024
Olimpia Khadir,44 Anderson Terrace,4020217,8,5,1938,2887
Vaughn Rasor,9658 Westridge Center,2262360,1,7,3452,3173
Dalton Lambillion,1492 Arkansas Place,2561771,7,3,870,1058
Ninnetta Weavill,168 Steensland Court,962439,8,7,3991,3223
Taryn Attewill,10 Westridge Trail,444331,8,4,5257,1331
Grantley Enrique,10 Declaration Road,3656321,6,0,3844,1547
Cece MacGillespie,6641 Hintze Trail,4952915,7,5,2201,963
Osmond Samworth,79 Barnett Parkway,3953229,7,1,1879,1643
Faye Rushe,06 Evergreen Road,1142653,8,8,2498,455
Andriette Coulthart,27084 La Follette Trail,1240494,2,7,4511,2936
Rustin Hallbird,4024 Burning Wood Junction,4959680,1,0,1158,2005
Solly McAleese,642 Eagle Crest Place,1809206,4,3,1134,3488
Kylen Ropcke,9786 Morrow Plaza,510099,4,2,3001,303
Sibley Matley,75022 Valley Edge Plaza,4572639,5,5,3838,424
Evy Baudains,2 Farragut Parkway,2707662,6,4,1505,1030
Devlen Strutley,4344 Caliangt Court,4783083,1,2,2375,687
Lorenzo Joicey,3 Coolidge Way,2431486,7,3,5016,399
Carin Crombleholme,0686 Washington Pass,1396891,4,2,1018,270
Ramona Garms,1 Donald Drive,3078985,4,1,356,522
Bent Mylchreest,08 Russell Trail,1859355,2,0,1489,2285
Paulina Pears,72 Amoth Trail,4402401,5,6,2067,2829
Candis Spreull,866 Heffernan Hill,4230707,1,0,4850,2451
Arlee Maddick,4554 Emmet Place,2269714,1,1,4130,634
Britt Baselli,4 Eliot Junction,4715302,3,7,3627,1125
Antony Dorber,66 Waxwing Park,267533,0,0,1315,2278
Celene Musprat,0 Melby Pass,1795371,6,2,1826,2803
Tiphani Lovelady,165 Swallow Terrace,1095290,8,6,3662,820
